,price,grade,sqft_living,lat,sqft_living15,sqft_above,bathrooms,floors,bedrooms,sqft_basement,view
13165,278226.0,8,2390,47.3527,2390,2390,2.5,2.0,4,0,0
13209,276500.0,6,1400,47.4888,1120,1400,1.75,1.5,4,0,0
9746,365500.0,6,1140,47.7673,2110,1140,1.0,1.0,2,0,0
6032,478000.0,7,820,47.6494,1630,820,1.0,1.0,2,0,0
10546,345000.0,7,2340,47.4685,2340,1280,2.5,1.0,3,1060,0
2231,660000.0,7,1980,47.6733,1590,1140,1.75,1.5,3,840,0
3283,595000.0,7,1880,47.6754,1410,940,1.75,1.0,4,940,0
6087,475000.0,7,1680,47.6855,1680,960,1.75,1.0,3,720,0
15904,185000.0,7,1130,47.307,1830,1130,1.75,1.0,3,0,0
4209,550000.0,7,2100,47.6699,1920,1060,2.0,1.0,4,1040,0
15149,221000.0,7,1540,47.3424,1540,1260,1.75,1.0,4,280,0
5290,505000.0,7,2400,47.7256,2010,1390,2.5,1.0,3,1010,0
15403,211000.0,6,1350,47.4565,1350,1350,1.5,1.0,3,0,0
3445,585000.0,8,3050,47.7445,3050,2240,3.25,2.0,3,810,0
13197,277000.0,6,770,47.7458,1160,770,1.0,1.0,2,0,0
14992,227064.0,7,1570,47.54,1530,1570,1.5,2.0,3,0,0
5196,510000.0,7,1990,47.5421,2120,1990,2.0,1.0,3,0,0
3668,575000.0,8,2168,47.6561,1770,2168,2.0,1.5,3,0,0
4870,525000.0,7,2530,47.6557,2530,1700,2.75,1.0,4,830,0
1722,700000.0,9,2690,47.612,2670,1890,2.25,2.0,4,800,0
5094,515000.0,6,1190,47.5576,1820,1190,1.75,1.0,3,0,0
3753,570000.0,7,1100,47.6388,1590,1100,1.0,1.0,2,0,0
14860,231000.0,6,1220,47.205,1540,1220,1.0,1.5,4,0,0
7315,435000.0,7,2180,47.5365,920,1410,2.5,2.0,4,770,0
13628,266000.0,8,1550,47.3525,1650,1550,2.25,2.0,3,0,0
8045,415000.0,8,2280,47.7322,2430,2280,2.5,2.0,3,0,0
11604,320000.0,6,1560,47.7552,1200,910,1.0,1.0,3,650,0
7958,419000.0,8,2690,47.4248,2160,2690,2.5,2.0,4,0,0
188,920000.0,9,2190,47.6178,1730,1540,3.25,2.0,4,650,0
805,795000.0,8,2260,47.6422,1600,1880,3.25,2.0,3,380,0
13342,274000.0,7,1940,47.3736,2000,1720,1.75,1.0,4,220,0
2788,625000.0,8,2350,47.5514,2020,1490,3.0,1.0,4,860,0
6492,460000.0,7,1760,47.6534,2010,1760,2.0,2.0,3,0,0
1747,699999.0,7,1240,47.6239,1460,1240,0.75,1.0,3,0,0
608,825000.0,8,2330,47.6461,2150,2080,1.75,1.5,5,250,0
9835,364000.0,8,1750,47.7612,1750,1750,2.25,1.5,4,0,0
2087,672000.0,8,1780,47.6597,2000,1080,2.5,2.0,3,700,0
3599,577288.0,9,2870,47.5688,2030,2870,2.75,2.0,4,0,0
16148,160000.0,6,860,47.3574,1660,860,1.0,1.0,3,0,0
2595,637500.0,8,2320,47.546,2330,2160,3.0,2.0,4,160,0
13767,263000.0,6,1490,47.5554,2180,700,1.75,1.0,3,790,0
4337,546200.0,8,2090,47.6364,1850,2090,2.25,2.0,4,0,0
3369,589999.0,8,2140,47.537,2280,1960,2.5,2.0,3,180,0
2216,660000.0,8,1210,47.5728,1580,1210,1.0,1.0,3,0,1
12539,295000.0,7,2100,47.5108,1410,1410,3.5,2.0,5,690,0
9671,369500.0,7,1108,47.6961,1285,1108,2.0,3.0,3,0,0
12424,299000.0,7,1590,47.5515,1090,1590,2.5,2.0,3,0,0
218,910000.0,10,2640,47.6809,1610,2640,3.0,2.0,5,0,0
4630,535000.0,7,1940,47.6881,1250,970,1.5,1.0,2,970,0
12597,294000.0,7,1380,47.5441,1580,1140,2.5,2.0,2,240,0
360,870300.0,8,2350,47.6605,1750,1690,2.5,1.5,4,660,0
5397,500000.0,9,2590,47.7703,2730,2590,2.5,2.0,4,0,0
7623,427000.0,7,1300,47.7005,1370,1300,1.75,1.0,3,0,0
4903,525000.0,7,1550,47.6572,2370,1550,1.0,1.5,3,0,0
11504,322000.0,7,1510,47.4476,1500,980,1.75,1.0,3,530,0
327,879000.0,9,3030,47.647,1910,2080,3.0,1.5,3,950,0
14348,248000.0,6,1420,47.3746,1480,1090,1.0,1.0,3,330,0
2380,650000.0,9,3060,47.5401,3140,3060,2.5,2.0,3,0,2
1766,699000.0,9,2650,47.7113,1200,2650,2.5,2.0,4,0,0
11146,330000.0,7,1860,47.3879,1820,1860,2.25,2.0,3,0,0
9243,380000.0,8,2030,47.7278,1650,1610,1.75,1.0,4,420,0
3128,603000.0,8,2670,47.6066,2820,2670,2.5,2.0,4,0,0
6775,450000.0,7,1180,47.5893,1420,1180,1.0,1.0,2,0,0
11724,315000.0,7,1010,47.6172,1250,1010,1.0,1.0,3,0,0
13753,263500.0,6,750,47.5198,1020,750,1.0,1.0,2,0,0
5652,493500.0,8,1800,47.5815,2210,1390,1.75,1.0,3,410,0
11175,330000.0,8,1310,47.4911,1310,1310,2.5,2.0,2,0,0
14695,237200.0,7,1220,47.3642,1220,1220,1.5,1.0,3,0,0
2805,625000.0,8,2000,47.5639,2030,1040,2.5,1.0,3,960,0
14217,250000.0,5,1100,47.5242,1280,1100,1.0,1.0,3,0,0
9048,386500.0,8,2950,47.7239,2060,1950,2.25,1.5,3,1000,0
5824,485000.0,7,1260,47.644,1700,1260,1.0,1.5,3,0,0
15673,200000.0,7,1770,47.5025,1370,1770,1.75,1.0,5,0,0
14273,250000.0,6,670,47.53,870,670,1.0,1.0,2,0,0
9869,361600.0,6,760,47.6914,1590,760,1.0,1.0,2,0,0
16282,135000.0,6,1520,47.328,1320,1120,1.0,1.0,3,400,0
9618,370000.0,6,850,47.5282,1880,750,1.0,1.0,2,100,0
13562,268500.0,7,1820,47.3743,1810,1120,1.75,1.5,4,700,0
13884,260000.0,7,1730,47.5327,1570,1480,2.75,2.0,3,250,2
12689,290000.0,7,1310,47.3893,1100,1310,2.0,1.0,3,0,0
9234,380000.0,7,1380,47.7134,1190,1380,1.0,1.0,3,0,0
6070,475000.0,8,1320,47.6719,1350,1320,2.5,3.0,3,0,0
5156,513000.0,7,1710,47.6689,920,1110,1.75,1.0,3,600,0
16007,175000.0,6,740,47.2088,1160,740,1.0,1.0,2,0,0
11991,310000.0,7,2150,47.7539,2150,1900,2.75,1.0,3,250,0
8866,392000.0,8,2130,47.5108,1830,2130,2.5,2.0,4,0,0
13967,257000.0,7,1400,47.3314,1580,1400,1.5,2.0,4,0,0
6442,462500.0,7,1690,47.621,1540,1690,2.0,2.0,2,0,0
7807,423000.0,8,2320,47.48,2330,2320,2.5,2.0,4,0,0
11237,329000.0,7,900,47.7423,1220,900,1.0,1.0,3,0,0
13443,270000.0,6,1300,47.5353,1420,650,1.75,1.0,3,650,0
2308,654500.0,8,1780,47.6761,2030,1780,1.0,1.5,4,0,0
5464,500000.0,7,1720,47.6719,1580,1720,1.0,1.5,4,0,0
12963,283450.0,7,2770,47.4847,1920,1490,2.75,1.0,5,1280,0
10446,349500.0,7,1260,47.7263,1330,1260,1.75,1.0,3,0,0
11763,315000.0,8,2740,47.1947,2030,2740,2.5,1.5,4,0,2
14351,248000.0,6,790,47.5146,1900,790,1.0,1.0,1,0,0
3501,581000.0,7,1170,47.6784,1560,1170,1.0,1.0,2,0,0
14656,239000.0,7,1470,47.3086,1470,1470,2.0,1.5,2,0,0
7255,438000.0,7,1120,47.6951,1230,1120,1.0,1.0,2,0,0
3971,560000.0,9,2260,47.7247,2260,2260,2.5,2.0,4,0,0
8025,415500.0,7,1750,47.7608,1580,1750,2.5,2.0,4,0,0
9652,370000.0,7,1360,47.4948,1650,1360,1.5,1.0,3,0,0
7745,425000.0,8,2430,47.356,2000,2430,3.0,2.0,4,0,0
11026,333700.0,7,2230,47.3359,2260,2230,2.5,2.0,3,0,0
13451,270000.0,7,1830,47.7439,2150,1830,1.0,1.0,3,0,0
5852,485000.0,7,1130,47.6862,1470,1130,1.0,1.0,2,0,0
16047,172500.0,6,1040,47.4206,1270,1040,1.0,1.0,3,0,0
15570,205000.0,7,1370,47.2769,1770,1370,1.0,1.0,3,0,0
10814,339300.0,7,970,47.6205,1230,970,2.0,1.0,3,0,0
11852,313000.0,6,1180,47.5321,1650,1180,1.0,1.0,2,0,0
41,975000.0,10,2620,47.6804,1680,2620,3.0,2.0,5,0,0
8809,395000.0,8,1840,47.4508,2250,1360,1.75,1.0,5,480,2
6157,475000.0,8,1380,47.6617,1310,1380,3.25,3.0,3,0,0
5940,480000.0,7,2270,47.5329,2360,2270,2.5,2.0,3,0,0
7046,443725.0,7,1250,47.6869,1240,750,1.75,1.0,3,500,0
15264,217500.0,7,1040,47.4553,1510,1040,1.0,1.0,3,0,0
2909,618000.0,7,2470,47.6936,1970,1600,2.25,1.0,4,870,0
12929,285000.0,7,1690,47.4964,1900,870,2.5,1.0,3,820,0
7267,437500.0,7,990,47.68,1930,790,1.0,1.0,2,200,2
8028,415000.0,8,2150,47.511,2080,2150,2.5,2.0,4,0,0
10416,349950.0,7,1420,47.5518,1560,1420,1.5,1.5,4,0,0
12334,300000.0,7,1910,47.3607,2010,1910,2.5,2.0,4,0,0
6351,465000.0,7,1560,47.7294,1970,1560,2.0,1.0,3,0,0
13925,259000.0,7,1590,47.4713,1150,1590,1.75,1.0,3,0,0
14673,238950.0,5,810,47.4909,890,810,1.0,1.0,2,0,0
11289,326250.0,7,1060,47.7244,1320,1060,1.0,1.0,3,0,0
16297,130000.0,7,1100,47.5231,1450,1100,1.0,1.0,3,0,0
7578,429000.0,7,1350,47.6727,1530,1350,1.0,1.5,4,0,0
14938,230000.0,6,680,47.5982,1470,680,1.0,1.0,3,0,0
12542,295000.0,6,520,47.5579,1030,520,1.0,1.0,1,0,0
7475,431000.0,9,3040,47.3473,2640,3040,2.5,2.0,4,0,0
3509,580000.0,8,2540,47.5259,2160,1320,1.0,1.0,2,1220,0
15812,191000.0,6,900,47.5269,940,900,1.0,1.0,2,0,0
14276,250000.0,7,1650,47.4328,1490,1650,2.5,2.0,3,0,0
15490,208950.0,5,960,47.4983,960,960,1.0,1.0,3,0,0
7879,420000.0,7,1640,47.5812,1680,1640,2.0,1.0,3,0,0
5768,489000.0,8,1500,47.6727,1440,1240,3.5,2.0,3,260,0
5040,518000.0,7,1270,47.5433,2100,1270,1.0,1.5,3,0,3
15732,198000.0,7,2080,47.3385,1500,1050,1.75,1.0,4,1030,0
2183,665000.0,9,2510,47.5847,2760,2510,2.5,2.0,4,0,0
9848,363000.0,8,2180,47.3673,2520,2180,2.5,2.0,4,0,0
8020,416000.0,7,940,47.5314,1630,940,1.0,1.0,2,0,0
15864,188500.0,8,1240,47.3813,1270,1240,1.75,1.0,2,0,0
9383,375000.0,7,1450,47.7643,1660,1450,2.25,1.0,4,0,0
11066,332000.0,7,1150,47.737,1300,1150,1.0,1.0,2,0,0
14272,250000.0,7,2320,47.3426,1740,1290,1.75,1.0,5,1030,0
1254,745000.0,8,1990,47.5639,2620,1990,1.75,1.0,4,0,0
6779,450000.0,7,1010,47.6066,1330,1010,2.0,1.5,3,0,0
16191,154950.0,6,1600,47.277,1410,1600,1.0,1.0,4,0,0
7150,440000.0,8,2340,47.7686,2370,1720,2.75,1.0,4,620,0
3334,590000.0,8,1710,47.5787,1640,1710,2.5,2.0,3,0,0
9825,364500.0,6,1600,47.5686,1640,800,1.0,1.0,3,800,2
13965,257100.0,7,1500,47.2043,1490,1000,1.5,1.0,3,500,0
10243,352000.0,7,2470,47.3792,1670,1420,2.5,1.0,4,1050,0
10846,338000.0,7,2400,47.5001,1460,1200,1.5,1.0,3,1200,0
5943,480000.0,8,2440,47.7649,2380,1890,3.0,2.0,4,550,0
4043,556000.0,8,2020,47.6678,2070,2020,2.25,2.0,3,0,0
13530,269500.0,6,930,47.5321,1100,730,1.0,1.0,2,200,0
13776,262500.0,7,1540,47.5164,1540,1540,2.0,1.0,4,0,0
2656,634800.0,7,3280,47.6802,2600,3280,3.0,2.0,4,0,0
10675,342000.0,7,2430,47.3718,3040,2430,2.5,2.0,3,0,0
2512,642000.0,7,1040,47.6461,1730,870,1.0,1.0,3,170,0
11219,329780.0,8,1730,47.5014,2030,1730,2.5,2.0,3,0,0
12623,292500.0,6,750,47.5368,1260,750,1.0,1.0,2,0,0
4486,540000.0,8,2400,47.5371,2420,2400,2.5,2.0,3,0,0
13571,268000.0,7,1880,47.5405,1800,1810,2.75,2.0,3,70,0
15432,210000.0,7,1700,47.3271,1350,1700,1.0,1.0,3,0,0
5883,484950.0,8,1670,47.5688,1850,1670,2.25,2.0,3,0,0
5908,482000.0,7,1350,47.6399,1760,1180,2.25,2.0,2,170,0
9463,375000.0,8,1280,47.7032,1280,1090,3.25,2.0,3,190,0
8589,400000.0,6,1590,47.7146,2030,970,1.75,1.5,3,620,0
14176,250000.0,6,1470,47.349,1360,1470,2.0,2.0,3,0,0
4649,533600.0,8,1930,47.5694,2190,1930,2.5,2.0,3,0,0
11291,326100.0,6,880,47.7145,1370,880,1.0,1.0,2,0,0
9214,381000.0,7,1470,47.5328,1960,1470,2.5,2.0,3,0,0
11288,326500.0,7,1060,47.5649,1060,1060,1.0,1.0,3,0,0
11545,320000.0,7,1590,47.4805,1680,1590,2.5,2.0,3,0,0
10313,350000.0,6,1470,47.7524,1470,1470,1.75,1.0,3,0,0
4653,533112.0,8,2790,47.4842,2790,2790,2.75,2.0,4,0,0
3245,599000.0,7,1550,47.7005,1340,1550,1.0,1.0,2,0,0
6590,457000.0,9,2820,47.2958,2597,2820,2.5,2.0,4,0,0
3698,574000.0,8,1100,47.6199,1230,900,2.25,2.0,2,200,0
15676,200000.0,7,1200,47.5209,1380,1200,1.0,1.5,3,0,0
11255,328000.0,6,700,47.5577,1620,700,1.0,1.0,2,0,0
4745,530000.0,7,1785,47.5959,1780,1595,2.5,2.0,2,190,0
3299,595000.0,7,1030,47.6455,1250,830,1.5,1.0,2,200,0
15865,188200.0,7,1260,47.2979,940,1260,1.0,1.0,3,0,0
2435,649950.0,8,2420,47.6949,2340,1210,2.5,1.0,3,1210,2
10506,347000.0,8,1315,47.752,1640,1315,1.75,2.0,2,0,0
12802,288000.0,7,1300,47.4568,1770,1300,1.5,1.0,3,0,0
385,865000.0,9,3380,47.6124,2910,2160,3.5,2.0,4,1220,1
11554,320000.0,7,1270,47.4831,1800,1270,1.0,1.0,3,0,2
9574,371000.0,8,1110,47.6711,1420,1110,1.5,3.0,2,0,0
9263,380000.0,8,2390,47.4378,2310,2390,2.5,2.0,3,0,0
15451,210000.0,7,2090,47.4958,2190,1280,1.75,1.0,4,810,0
7320,435000.0,7,2140,47.5367,2480,2140,2.25,2.0,4,0,0
12059,307000.0,6,1310,47.5545,960,1110,1.5,1.5,5,200,0
311,880000.0,8,2560,47.6499,2500,1450,2.75,1.0,4,1110,2
10982,335000.0,7,990,47.7116,1450,990,1.0,1.0,3,0,0
6137,475000.0,7,1230,47.7017,1660,1230,2.0,1.0,3,0,0
3848,565000.0,8,2730,47.7739,2520,2730,2.75,2.0,4,0,0
1139,751305.0,10,2660,47.5529,2920,2660,2.5,2.0,4,0,0
4176,550000.0,8,2250,47.7489,2080,2250,2.5,2.0,3,0,0
7025,445000.0,8,1550,47.5857,1550,1060,2.5,2.0,3,490,0
4740,530000.0,7,1250,47.69,1180,1250,1.75,1.5,3,0,0
8740,396000.0,8,950,47.6714,1290,950,1.5,3.0,2,0,0
12497,296000.0,7,1370,47.7344,1330,1370,1.0,1.0,2,0,0
4464,540000.0,7,1630,47.6821,1630,980,1.75,1.0,4,650,0
7317,435000.0,7,1380,47.6783,1930,1380,2.25,2.0,3,0,0
14372,247200.0,7,1590,47.2894,1560,1590,1.0,1.0,3,0,0
15132,222500.0,7,1450,47.1955,1450,1450,2.0,2.0,3,0,0
9124,385000.0,7,1340,47.7134,1540,1340,1.75,1.0,3,0,0
13159,278800.0,8,2440,47.3895,2090,1560,2.5,1.0,4,880,0
13602,267000.0,8,2495,47.288,2434,2495,2.5,2.0,3,0,0
1053,762000.0,7,3370,47.6373,1920,2140,2.0,1.5,5,1230,0
10968,335000.0,7,2540,47.4601,1820,1600,2.75,1.0,4,940,0
6196,472000.0,7,1740,47.5897,1390,1740,1.5,1.0,3,0,0
4058,555000.0,8,2480,47.53,2540,2480,2.5,2.0,3,0,0
2458,648000.0,10,2380,47.5833,2730,2380,2.5,2.0,4,0,0
15820,190000.0,6,1190,47.5305,1140,890,1.0,1.0,4,300,0
10876,337000.0,8,1590,47.7408,2090,1590,2.0,1.0,4,0,0
2448,649000.0,10,2980,47.5857,3080,2980,2.5,2.0,4,0,0
11832,314500.0,7,2390,47.3289,1900,2390,2.5,2.0,4,0,0
10687,341000.0,8,1750,47.4451,1680,1750,2.25,2.0,3,0,0
10843,338500.0,8,2390,47.3677,2520,2390,2.5,2.0,4,0,0
5914,481450.0,7,1410,47.6852,1190,1410,2.0,1.0,3,0,0
1643,705000.0,10,2500,47.6286,2580,2500,2.5,2.0,3,0,0
4553,537000.0,7,1400,47.6865,1440,1200,2.5,1.0,3,200,0
2769,625000.0,7,1780,47.6827,1360,920,1.75,1.0,3,860,0
2616,635000.0,9,2500,47.5912,2890,2500,2.5,2.0,4,0,0
16336,114975.0,6,740,47.506,980,740,1.0,1.0,2,0,0
10127,355000.0,7,1180,47.7372,1320,1180,1.0,1.0,3,0,0
3070,607000.0,8,2100,47.6733,2160,1300,2.5,1.0,4,800,0
353,874150.0,10,3530,47.7073,3170,2570,3.5,2.0,4,960,1
9730,366400.0,8,2040,47.3849,2030,1270,2.25,1.0,4,770,0
16313,124000.0,5,1080,47.5045,1070,1080,1.0,1.0,3,0,0
10581,345000.0,7,1140,47.6012,1510,1140,1.0,2.0,3,0,0
